identifier,direction,start_index,end_index,price_eur_mw_h,cap_max_mw,block_hours,coverage_hours,committed_mw,capacity_revenue_eur
afrr:2025-01-23:12-16:up,up,2160,2176,16.86,1.0,4.0,4.0,0.9417301229153846,63.510279489413534
afrr:2025-01-23:16-20:up,up,2176,2192,16.86,1.0,4.0,4.0,0.9999987378711758,67.43991488203208
afrr:2025-01-23:20-24:up,up,2192,2208,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-24:0-4:up,up,2208,2224,16.86,1.0,4.0,4.0,0.7420500000000002,50.043852000000015
afrr:2025-01-24:4-8:up,up,2224,2240,16.86,1.0,4.0,4.0,0.7415156250000001,50.007813750000004
afrr:2025-01-24:8-12:up,up,2240,2256,16.86,1.0,4.0,4.0,0.907310546875,61.18902328125
afrr:2025-01-24:12-16:up,up,2256,2272,16.86,1.0,4.0,4.0,0.5544621826171874,37.392929595703116
afrr:2025-01-24:16-20:up,up,2272,2288,16.86,1.0,4.0,4.0,0.9198621826171876,62.03550559570313
afrr:2025-01-24:20-24:up,up,2288,2304,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-25:0-4:up,up,2304,2320,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-25:4-8:up,up,2320,2336,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-25:8-12:up,up,2336,2352,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-25:12-16:up,up,2352,2368,16.86,1.0,4.0,4.0,0.9390000000000001,63.32616
afrr:2025-01-25:16-20:up,up,2368,2384,16.86,1.0,4.0,4.0,0.9854124999999999,66.45621899999999
afrr:2025-01-25:20-24:up,up,2384,2400,16.86,1.0,4.0,4.0,0.7659203125,51.653665875
afrr:2025-01-26:0-4:up,up,2400,2416,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-26:4-8:up,up,2416,2432,16.86,1.0,4.0,4.0,0.875,59.01
afrr:2025-01-26:8-12:up,up,2432,2448,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-26:12-16:up,up,2448,2464,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-26:16-20:up,up,2464,2480,16.86,1.0,4.0,4.0,0.9221866666666667,62.1922688
afrr:2025-01-26:20-24:up,up,2480,2496,16.86,1.0,4.0,4.0,0.6406433333333333,43.204986399999996
afrr:2025-01-27:0-4:up,up,2496,2512,16.86,1.0,4.0,4.0,0.6559727083333335,44.238799450000016
afrr:2025-01-27:4-8:up,up,2512,2528,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-27:8-12:up,up,2528,2544,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-27:12-16:up,up,2544,2560,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-27:16-20:up,up,2560,2576,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-27:20-24:up,up,2576,2592,16.86,1.0,4.0,4.0,0.7649827866710596,51.590439133096254
afrr:2025-01-28:0-4:up,up,2592,2608,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-28:4-8:up,up,2608,2624,16.86,1.0,4.0,4.0,0.7307999999999996,49.28515199999997
afrr:2025-01-28:8-12:up,up,2624,2640,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-28:12-16:up,up,2640,2656,16.86,1.0,4.0,4.0,1.0,67.44
